centroid_x,centroid_y,mass,peak,plane_cp25_flux,plane_cp25_inventory,plane_cp50_flux,plane_cp50_inventory,plane_cp75_flux,plane_cp75_inventory,spread_x,spread_y,time,total_mass
nan,nan,0,0,0,0,0,0,0,0,nan,nan,0,0
17.39461255799785,45.59838462764764,113.1647528221772,13.73379380472844,11.25770310283924,2.745300398080135,3.643086735885842e-06,2.963458903043187e-07,6.002920745753091e-10,3.941228835791364e-11,3.970567652809167,18.60119370978154,0.8,113.1647528221772
19.40470550765169,46.54621614536878,227.474711211165,14.15959017354627,58.27479144795278,13.41188484007228,0.007186732177531147,0.0005946734101218142,9.821326013170097e-06,6.509102484334614e-07,4.689273936681008,18.30288419848416,1.6,227.474711211165
21.38128340435109,47.32093594930865,340.0586762370891,14.17423925562424,101.9166140184485,22.6619380609102,0.4199932996782987,0.03566905689252996,0.002659446497705342,0.0001802781483432094,5.640700674300485,18.04873835106894,2.4,340.0586762370891
23.47853612724882,47.81189662972152,454.0673067304475,14.17479882295554,130.5199968297421,28.15780936353229,4.566316474328832,0.3928056064172891,0.08466821907590996,0.005992355479636489,6.939231075530514,17.84058465787696,3.2,454.0673067304475
25.81647055014914,48.01478377485756,573.1562355172566,14.17482288189319,142.7790196425672,30.34930724988855,19.60582629310271,1.67860371788422,0.8506486113149203,0.06422860920561677,8.679324142546724,17.72850217621103,4,573.1562355172566
28.41326213631185,48.02435125860509,697.899756232364,14.1748240839901,146.2392195175204,30.93834022459815,47.28832561112149,4.00463504202209,4.525491077386418,0.3654162135475779,10.77456934219559,17.72726258098809,4.8,697.8997562323642
31.18801801386791,47.99343064379165,825.4248625110407,14.17482415738106,146.9669263705383,31.05761180257438,79.19315700526649,6.666896508912359,15.28962109138504,1.301974410233361,13.02348838993251,17.77206860213465,5.600000000000001,825.4248625110406
34.00651629438159,48.01940168656292,951.6645108888866,14.17482416317121,147.095570344792,31.07803677264861,106.6961437523207,9.030384753577088,35.46516734555345,3.139664257273097,15.20599452799017,17.80595029099793,6.4,951.6645108888865
36.70057245740264,48.1053666936719,1072.255936991334,14.17482416378211,147.1167297059758,31.08131306693715,127.3437008174817,10.96077106573708,61.45441016251287,5.59440556302905,17.12819937206748,17.81828084884117,7.2,1072.255936991334
39.11182821521916,48.20885019658287,1182.779775417578,14.17482416386749,147.1202329290325,31.08184815832664,142.1803131677833,12.53030766338478,86.72739801664048,8.051998554852219,18.68121310116444,17.81615937465858,8,1182.779775417578
41.15336790130941,48.29696756823344,1279.963027295197,14.17482416388257,147.120846836053,31.0819422683599,152.6338533593915,13.78877114790911,107.1899470244026,10.09308626357149,19.86354767443854,17.80355052476002,8.800000000000001,1279.963027295198
42.82283162603115,48.36129765142704,1362.711374829209,14.17482416388574,147.120963306315,31.08196055787663,159.7788485813006,14.75844551362162,122.3146365048836,11.64700138376663,20.73965588735028,17.78125152241966,9.6,1362.711374829209
44.16799373496642,48.40570349520395,1431.808788121701,14.1748241638865,147.1209873445658,31.08196450238076,164.4739526196452,15.47313455078189,133.313667842048,12.82837249361072,21.38816676510889,17.75119415578747,10.4,1431.808788121701
45.24950795656476,48.43426744781207,1488.928119853319,14.1748241638867,147.120992730466,31.08196544139245,167.4479259094217,15.98451590044582,141.5425713690618,13.77074642665141,21.87547646542418,17.71726612653023,11.2,1488.928119853319
