protocol_name,protocol_label,global_overall_regret_score_mean,global_rmse_relative_regret_mean,global_mass_relative_regret_mean,global_peak_relative_regret_mean,global_near_best_rmse10_share,global_near_best_capture10_share,adaptive_overall_regret_score_mean,adaptive_rmse_relative_regret_mean,adaptive_mass_relative_regret_mean,adaptive_peak_relative_regret_mean,adaptive_near_best_rmse10_share,adaptive_near_best_capture10_share,adaptive_gain_vs_global
modflow6_mt3dms_p06_uniform_reference,Uniform Reference,0.0952776815317052,1.0782867305230637,0.5567383925443027,0.3809126238746504,0.8518518518518519,0.8518518518518519,0.0532270165293147,0.8916850990931616,0.3129774378544164,0.1943062548935799,0.925925925925926,0.925925925925926,0.0420506650023905
modflow6_mt3dms_p06,Full Phase Protocol,0.0216091090288451,0.0789874673431785,0.0796609179359521,0.0833370145562459,0.925925925925926,0.925925925925926,0.002788015729367,0.0063912331746913,0.0028850414201037,0.0107275403810667,0.9629629629629628,0.9629629629629628,0.018821093299478103
modflow6_mt3dms_p06_phaseprotocol_budgetmatched,Budget-Matched Phase Protocol,0.0229931065831598,0.0942452295880921,0.1436011173016314,0.095517310546888,0.9629629629629628,0.9629629629629628,0.000322042661234,0.0002450727395885,0.0012672326590363,0.0014715146591799,1.0,1.0,0.0226710639219258
